"Órgão Sup UResp Compra ID","Órgão Vinc UResp Compra DESC","Órgão UResp Compra ID","Órgão UResp Compra DESC","Cod UResp Compra DESC","Cod UResp Compra NOME","UF UResp Compra DESC","Municipio UResp Compra DESC","Número Processo Compra DESC","Modalidade Compra DESC","Identif Compra DESC","Tipo Licitação DESC","Inciso Disp Legal DESC","Forma Compra DESC","Objeto Compra DESC","Dia Abert Sessão Publ ID","Sit Atual Compra DESC","Existência Result Compra DESC","Dia Homologação Compra DESC","Sub-rogação Compra DESC","Valor Total Homologado"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243006438201610","Pregão","15814805000162016","Não se Aplica","NAO SE APLICA","SISPP","Objeto: Pregão Eletrônico -  Contratação de empresa especializada para prestação continuada de serviços de limpeza, asseio e conservação, que compreenderá o fornecimento de mão de obra e todo o material de consumo e equipamentos necessários e adequados à execução dos serviços, sob regime de execução indireta, pelo período de 12 (doze) meses, admitida a prorrogação nos termos da lei, conforme condições constantes do Termo de Referência e seus anexos. UNIDADES ATENDIDAS: Reitoria e  Campus Avançado Jaru.",27/12/2016,"Publicado","Existe Resultado de Compra","03 Fev 2017","Não Subrogou Compra","144.000,0000"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243002412201783","Pregão","15814805000022017","Não se Aplica","NAO SE APLICA","SISPP","Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica para prestação do serviço de arbitragem para atender aos JOGOS DO INSTITUTO FEDERAL DE RONDÔNIA - JIFRO 2017, a ser realizado no município de Porto Velho/RO, no período de 03 a 07 de julho de 2017.",8/6/2017,"Publicado","Existe Resultado de Compra","22 Jun 2017","Não Subrogou Compra","30.790,4100"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243015682201754","Pregão","15814805000052017","Não se Aplica","NAO SE APLICA","SISPP","Objeto: Pregão Eletrônico -  Contratação de empresa para a PRESTAÇÃO DOS SERVIÇOS DE IMPLANTAÇÃO DE SUBESTAÇÃO AÉREA DE 300 KVA NAS DEPENDÊNCIAS DO CAMPUS JARU, com recursos assegurados pela Reitoria do Instituto Federal de Rondônia, através do Ministério da Educação, conforme Projeto, Planilha Orçamentária, Memorial Descritivo e anexos.",15/12/2017,"Publicado","Existe Resultado de Compra","26 Dez 2017","Não Subrogou Compra","103.550,0000"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243002799201697","Pregão","15814805000142016","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Materiais diversos (açúcar,café, filtro coador de café, garrafa térmica, adesivos para frota,borracha pra carimbo, kit microfone, Kit testador de cabos, lampadas led)",31/10/2016,"Evento de Adiamento Publicado","Existe Resultado de Compra","02 Mar 2017","Não Subrogou Compra","6.282,0000"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243001621201718","Pregão","15814805000012017","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Registro de preços para eventual contratação de empresa especializada para prestação do serviço de hospedagem com fornecimento de alimentação nos municípios de Porto Velho/RO, Ariquemes/RO, Ji-Paraná/RO, Cacoal/RO, Vilhena/RO e Guajará-Mirim/RO para atender as demandas da Reitoria e dos Campi do INSTITUTO FEDERAL DE RONDÔNIA   IFRO.",19/4/2017,"Publicado","Existe Resultado de Compra","02 Jun 2017","Não Subrogou Compra","2.265.811,4500"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243002897201713","Pregão","15814805000032017","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Aquisição de materiais de suporte para atividades de divulgação e desenvolvimento institucional, visando atender às necessidades das unidades do Instituto Federal de Rondônia - IFRO, conforme especificações e quantidades estabelecidas no Termo de Referência, Edital e anex",22/8/2017,"Publicado","Existe Resultado de Compra","17 Out 2017","Não Subrogou Compra","681.481,0600"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243010425201726","Pregão","15814805000042017","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Registro de preços para futura e eventual contratação de serviço de emissão e renovação de certificação digital A3, e CPF, dentro das especificações e normas ICP-Brasil, e o fornecimento de dispositivos para armazenamento de certificados digitais do tipo token USB criptográfico, com validade mínima de 3 (três) anos conforme itens e especificações, para atender às necessidades deste Instituto Federal de Rondônia.",24/8/2017,"Publicado","Existe Resultado de Compra","12 Set 2017","Não Subrogou Compra","13.828,5800"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243000165201781","Dispensa de Licitação","15814806000012017","Não se Aplica","INCISO XXII","SISPP","Objeto: Contratação de empresa especializada em serviços de energia elétrica, para atender a demanda do IFRO-Campus Avançado Jaru.",31/12/1899,"Publicado","Existe Resultado de Compra","01 Jan 1900","Não Subrogou Compra","18.000,0000"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243000164201736","Inexigibilidade de Licitação","15814807000012017","Não se Aplica","INCISO I","SISPP","Objeto: Contratação, por prazo indeterminado, de empresa especializada em serviços de abastecimento de água e/ou esgoto, para atender a demanda do IFRO-Campus Avançado Jaru.",31/12/1899,"Encerrado","Existe Resultado de Compra","01 Jan 1900","Não Subrogou Compra","3.600,0000"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","000980/2017-40","Dispensa de Licitação","15814806000022017","Não se Aplica","INCISO II","SISPP","Objeto: Contratação de empresa especializada para fornecimento de placa para atender as necessidades do IFRO - Campus Avançado Jaru.",31/12/1899,"Encerrado","Existe Resultado de Compra","01 Jan 1900","Não Subrogou Compra","1.390,0000"
